OrderLineID,OrderID,OrderDate,ShipDate,CustomerID,ProductID,WarehouseID,CategoryID,SubCategoryID,CampaignID,Channel,Quantity,UnitPrice,DiscountAmount,ShippingCost,ReturnFlag,ReturnAmount,CostAmount,SalesAmount,ProfitAmount
17,39859,02-01-2022,08-01-2022,17,17,17,2,7,17,Marketplace,8,4101.77,121.95,144.36,0,165.94,2708.3,32692.21,29673.61
18,31345,02-01-2022,08-01-2022,18,18,18,3,8,18,App,2,1134.85,50.34,46.2,0,443.79,1489.05,2219.36,240.32
19,21309,02-01-2022,04-01-2022,19,19,19,4,9,19,App,1,3951.12,404.97,71.03,0,415.76,450.84,3546.15,2608.52
20,20864,03-01-2022,07-01-2022,20,20,20,5,10,20,Website,8,2579.79,492.31,124.74,0,434.08,2529.87,20146.01,17057.32
21,32055,03-01-2022,08-01-2022,21,21,21,1,1,21,Website,4,1343.18,329.39,35.99,0,367.57,751.31,5043.33,3888.46
22,25389,03-01-2022,04-01-2022,22,22,22,2,2,22,Website,6,1880.33,412.61,149.24,0,65.89,169.33,10869.37,10484.91
23,39747,03-01-2022,07-01-2022,23,23,23,3,3,23,Website,1,4863.42,470.66,108.16,1,31.81,613.47,4392.76,3639.32
24,31716,03-01-2022,05-01-2022,24,24,24,4,4,24,App,3,2471.41,114.29,138.4,0,32.31,1818.51,7299.94,5310.72
25,31978,03-01-2022,09-01-2022,25,25,25,5,5,25,Website,7,3626.07,175.2,128.95,0,400.89,1332.25,25207.29,23345.2
26,23003,03-01-2022,08-01-2022,26,26,26,1,6,26,Website,7,2437.72,109.51,121.03,0,328.56,526.78,16954.53,15978.16
27,34174,03-01-2022,07-01-2022,27,27,27,2,7,27,Website,8,1920.63,30.89,24.28,0,490.49,1622.32,15334.15,13197.06
28,33772,03-01-2022,04-01-2022,28,28,28,3,8,28,App,2,4002.46,366.14,72.84,0,321.75,2861.51,7638.78,4382.68
29,37615,04-01-2022,05-01-2022,29,29,29,4,9,29,Marketplace,7,4256.79,72.83,46.24,0,124.63,2193.5,29724.7,27360.33
30,27959,04-01-2022,07-01-2022,30,30,30,5,10,30,Marketplace,4,452.26,46.35,133.27,0,44.76,254.27,1762.69,1330.39
31,31980,04-01-2022,07-01-2022,31,31,31,1,1,31,App,6,1466.99,178.82,108.44,0,182.8,993.37,8623.12,7338.51
32,39095,04-01-2022,06-01-2022,32,32,32,2,2,32,Marketplace,4,2588.57,30.28,33.92,1,99.85,2092.56,10324,8097.67
33,26581,04-01-2022,08-01-2022,33,33,33,3,3,33,App,9,1650.84,89.78,66.75,0,314.2,463.41,14767.78,13923.42
34,36805,04-01-2022,08-01-2022,34,34,34,4,4,34,Website,1,3939.56,34.97,29.01,0,47.98,1639.02,3904.59,2188.58
35,29965,04-01-2022,10-01-2022,35,35,35,5,5,35,Marketplace,1,662.19,438.64,116.2,0,386.26,1661.05,223.55,-1939.96
36,31760,04-01-2022,10-01-2022,36,36,36,1,6,36,App,5,4009.21,389.87,74.38,0,348.28,310.91,19656.18,18922.61
37,34922,04-01-2022,10-01-2022,37,37,37,2,7,37,App,5,3127.64,429.76,50.47,1,368.18,1838.08,15208.44,12951.71
38,20946,05-01-2022,08-01-2022,38,38,38,3,8,38,Website,8,1517.9,434.17,87.3,0,482.74,2705.21,11709.03,8433.78
39,38218,05-01-2022,09-01-2022,39,39,39,4,9,39,App,7,1787.83,472.25,25.47,0,325.28,1972.57,12042.56,9719.24
40,21564,05-01-2022,09-01-2022,40,40,40,5,10,40,Marketplace,3,996.21,93.33,53.45,0,394.28,2750.67,2895.3,-303.1
41,27332,05-01-2022,06-01-2022,41,41,41,1,1,41,Website,8,1337.61,450,42.79,0,42.65,1859.97,10250.88,8305.47
42,24944,05-01-2022,08-01-2022,42,42,42,2,2,42,App,4,3614.62,262.52,140.98,0,471.55,2267.81,14195.96,11315.62
43,36057,05-01-2022,10-01-2022,43,43,43,3,3,43,Website,3,1941.83,83.12,69.02,0,109.29,2683.21,5742.37,2880.85
44,33877,05-01-2022,08-01-2022,44,44,44,4,4,44,App,2,3468.67,327.89,95.98,0,246.53,1416.87,6609.45,4850.07
45,30139,05-01-2022,10-01-2022,45,45,45,5,5,45,Marketplace,9,2619.13,163.5,85.38,0,478.55,516.05,23408.67,22328.69
46,21308,05-01-2022,06-01-2022,46,46,46,1,6,46,Marketplace,7,811.96,23.23,105.7,0,89.68,401.91,5660.49,5063.2
47,39370,06-01-2022,08-01-2022,47,47,47,2,7,47,Website,5,2545.45,39.32,56.29,0,17.75,2862.83,12687.93,9751.06
48,36770,06-01-2022,10-01-2022,48,48,48,3,8,48,App,9,3806.7,211.86,35.7,0,148.53,1663.43,34048.44,32200.78
49,23258,06-01-2022,07-01-2022,49,49,49,4,9,49,Website,3,1558.61,413.24,30.59,0,78.19,2065.14,4262.59,2088.67
50,24811,06-01-2022,10-01-2022,50,50,50,5,10,50,Website,6,3275.6,155.51,45.14,0,334.02,1854.77,19498.09,17264.16
51,26697,06-01-2022,12-01-2022,1,1,1,1,1,1,Marketplace,8,1075.26,383.06,82.77,0,139.19,1716.56,8219.02,6280.5
52,35775,06-01-2022,08-01-2022,2,2,2,2,2,2,Website,9,764.92,27.87,50.68,0,31.42,1700.28,6856.41,5074.03
53,31039,06-01-2022,08-01-2022,3,3,3,3,3,3,App,4,1865.11,196.87,76.42,0,446.51,1445.47,7263.57,5295.17
54,21439,06-01-2022,07-01-2022,4,4,4,4,4,4,Marketplace,1,2007.1,63.72,23.81,0,24.74,2659.03,1943.38,-764.2
55,31634,06-01-2022,08-01-2022,5,5,5,5,5,5,App,8,3828.95,431.77,101.58,0,135.64,406.62,30199.83,29555.99
56,20055,07-01-2022,12-01-2022,6,6,6,1,6,6,Website,3,2354.39,483.97,134.16,0,120.15,2161.76,6579.2,4163.13
57,39708,07-01-2022,09-01-2022,7,7,7,2,7,7,Marketplace,6,498.05,162.81,26.19,1,11.75,2058.22,2825.49,729.33
58,20105,07-01-2022,11-01-2022,8,8,8,3,8,8,App,4,3206.6,494.43,48.35,0,82.62,234.08,12331.97,11966.92
59,23201,07-01-2022,11-01-2022,9,9,9,4,9,9,App,6,2399.34,376.15,61.31,1,407.42,690.31,14019.89,12860.85
60,35184,07-01-2022,11-01-2022,10,10,10,5,10,10,Website,3,1725.05,0.62,57.34,0,18.76,2373.74,5174.53,2724.69
61,20669,07-01-2022,11-01-2022,11,11,11,1,1,11,App,7,4030.87,242.64,25.25,0,11.61,739.64,27973.45,27196.95
62,32663,07-01-2022,12-01-2022,12,12,12,2,2,12,Website,2,856.49,417.05,33.86,0,317.01,1754.32,1295.93,-809.26
63,20966,07-01-2022,10-01-2022,13,13,13,3,3,13,Website,5,4574.74,266.94,138.62,0,44.46,296.95,22606.76,22126.73
64,36691,07-01-2022,13-01-2022,14,14,14,4,4,14,Website,3,1736.9,274.98,112.48,0,185.79,707.5,4935.72,3929.95
65,38522,08-01-2022,09-01-2022,15,15,15,5,5,15,Website,5,2358.61,223.85,144.6,0,1.07,2678.06,11569.2,8745.47
66,31656,08-01-2022,12-01-2022,16,16,16,1,6,16,Marketplace,3,4653.24,197.52,77.26,0,181.19,1117.3,13762.2,12386.45
67,35893,08-01-2022,10-01-2022,17,17,17,2,7,17,App,9,3830.08,13.7,134.27,0,159.02,2427.34,34457.02,31736.39
68,33089,08-01-2022,12-01-2022,18,18,18,3,8,18,App,8,464.08,310.87,126.15,0,306.35,1461.48,3401.77,1507.79
69,36493,08-01-2022,10-01-2022,19,19,19,4,9,19,Marketplace,2,2933.65,383.36,133.74,0,249.55,1000.7,5483.94,4099.95
70,23632,08-01-2022,14-01-2022,20,20,20,5,10,20,Website,8,1620.78,395.09,25.09,1,339.26,1721.36,12571.15,10485.44
71,25684,08-01-2022,14-01-2022,21,21,21,1,1,21,Website,8,2591.59,312.32,104.83,0,467.93,1625.23,20420.4,18222.41
72,33266,08-01-2022,14-01-2022,22,22,22,2,2,22,Website,3,3740.55,170.64,93.66,0,397.59,2955.1,11051.01,7604.66
73,38299,08-01-2022,10-01-2022,23,23,23,3,3,23,Website,5,2531.25,11.3,90.88,0,466.78,1066.07,12644.95,11021.22
74,36940,08-01-2022,12-01-2022,24,24,24,4,4,24,Marketplace,2,448.01,447.89,85.57,0,27.11,1978.41,448.13,-1642.96
75,20104,09-01-2022,15-01-2022,25,25,25,5,5,25,App,6,2696.9,214.52,123.48,1,495.17,2084.16,15966.88,13264.07
76,22047,09-01-2022,14-01-2022,26,26,26,1,6,26,Website,2,218.24,300.59,145.85,0,161.03,1897.7,135.89,-2068.69
77,36529,09-01-2022,11-01-2022,27,27,27,2,7,27,Website,4,1807.21,97.28,127.76,0,138.36,1463.73,7131.56,5401.71
78,37257,09-01-2022,11-01-2022,28,28,28,3,8,28,Website,3,2442.35,70.98,133.15,0,201.76,2361.25,7256.07,4559.91
79,36682,09-01-2022,13-01-2022,29,29,29,4,9,29,App,1,3258.9,43.41,82.91,0,391.65,2316.14,3215.49,424.79
80,39622,09-01-2022,11-01-2022,30,30,30,5,10,30,App,8,2580.41,399.38,109.78,0,477.14,2879.16,20243.9,16777.82
81,28837,09-01-2022,11-01-2022,31,31,31,1,1,31,Marketplace,8,844.54,323.23,74.02,0,277.12,2932.04,6433.09,3149.91
82,35407,09-01-2022,15-01-2022,32,32,32,2,2,32,App,1,4667.87,310.58,66.84,0,77.19,684.98,4357.29,3528.28
83,26382,09-01-2022,13-01-2022,33,33,33,3,3,33,App,6,3286.47,459.7,136.39,0,107.03,1980.61,19259.12,17035.09
84,38895,10-01-2022,16-01-2022,34,34,34,4,4,34,Website,1,1653.14,79.36,137.68,0,202.69,2576.6,1573.78,-1343.19
85,20783,10-01-2022,16-01-2022,35,35,35,5,5,35,App,9,4833.1,85.13,108.69,0,182.88,2888.81,43412.77,40232.39
86,20370,10-01-2022,14-01-2022,36,36,36,1,6,36,Website,1,4424.63,94.73,128.92,0,119.14,471.1,4329.9,3610.74
87,35908,10-01-2022,11-01-2022,37,37,37,2,7,37,Marketplace,3,803.1,211.68,66.85,0,425.11,2849.8,2197.62,-1144.14
88,20486,10-01-2022,16-01-2022,38,38,38,3,8,38,Website,9,3311.6,437.11,76.39,1,140.06,715.12,29367.29,28435.72
89,34500,10-01-2022,15-01-2022,39,39,39,4,9,39,Marketplace,1,2844.34,440.74,126.73,0,296.38,1738.73,2403.6,241.76
90,23196,10-01-2022,15-01-2022,40,40,40,5,10,40,App,2,1044.76,295.29,71.75,0,239.65,1980.15,1794.23,-497.32
91,29552,10-01-2022,12-01-2022,41,41,41,1,1,41,Marketplace,4,1244.03,329.07,25.2,0,461.73,2644.57,4647.05,1515.55
92,22261,10-01-2022,15-01-2022,42,42,42,2,2,42,Website,7,2862.49,448.88,65.93,0,314.46,2420.84,19588.55,16787.32
93,30813,11-01-2022,13-01-2022,43,43,43,3,3,43,App,8,1674.31,312.11,71.77,0,166.05,2806.86,13082.37,10037.69
94,29148,11-01-2022,12-01-2022,44,44,44,4,4,44,App,1,4190.67,114.9,40.1,1,319.35,2372.74,4075.77,1343.58
95,28572,11-01-2022,15-01-2022,45,45,45,5,5,45,Website,1,578.92,352.46,64.74,0,159.45,1049.27,226.46,-1047
96,35008,11-01-2022,15-01-2022,46,46,46,1,6,46,App,5,4578.75,384.95,141.47,0,45.43,577.6,22508.8,21744.3
97,33085,11-01-2022,15-01-2022,47,47,47,2,7,47,Website,8,4218.71,317.67,131.61,0,242.6,509.19,33432.01,32548.61
98,36622,11-01-2022,16-01-2022,48,48,48,3,8,48,Marketplace,1,3719.26,136.78,77.97,0,430.1,308.23,3582.48,2766.18
99,26843,11-01-2022,12-01-2022,49,49,49,4,9,49,Marketplace,3,1386.58,199.96,112.29,0,454.59,2800.58,3959.78,592.32
100,21105,11-01-2022,16-01-2022,50,50,50,5,10,50,App,6,3603.29,235.3,39.74,1,271.87,1484.28,21384.44,19588.55
101,37770,11-01-2022,16-01-2022,1,1,1,1,1,1,Website,1,2249.97,72.65,117.83,0,349.76,2897.83,2177.32,-1188.1
102,30441,12-01-2022,13-01-2022,2,2,2,2,2,2,Website,3,3205.41,226.11,81.85,0,305.35,2335.91,9390.12,6667.01
103,29719,12-01-2022,13-01-2022,3,3,3,3,3,3,Marketplace,1,1631.52,80.6,113.93,0,405.41,2863.65,1550.92,-1832.07
104,38051,12-01-2022,13-01-2022,4,4,4,4,4,4,Website,4,4195.7,249.73,103.72,0,51.61,2612.28,16533.07,13765.46
105,22691,12-01-2022,13-01-2022,5,5,5,5,5,5,App,9,298.82,25.41,50.26,1,200.69,1770.83,2663.97,642.19
106,31864,12-01-2022,16-01-2022,6,6,6,1,6,6,App,5,3488.15,474.27,128.51,0,126.54,716.21,16966.48,15995.22
107,21996,12-01-2022,15-01-2022,7,7,7,2,7,7,Marketplace,3,4160.29,123.17,94.38,0,3.29,799.44,12357.7,11460.59
108,21425,12-01-2022,15-01-2022,8,8,8,3,8,8,Website,7,3267.5,233.51,121.95,0,414.96,1145.57,22638.99,20956.51
109,36378,12-01-2022,13-01-2022,9,9,9,4,9,9,App,6,1040.76,16.38,32.22,0,67.09,121.68,6228.18,6007.19
110,26849,12-01-2022,15-01-2022,10,10,10,5,10,10,App,9,1496.41,96.36,100,0,161.69,2017.17,13371.33,11092.47
111,23247,13-01-2022,16-01-2022,11,11,11,1,1,11,App,4,2623.04,346.62,57.94,1,433.44,1687.75,10145.54,7966.41
112,38976,13-01-2022,14-01-2022,12,12,12,2,2,12,Website,4,1714.3,55.9,131.92,0,360.66,348.03,6801.3,5960.69
113,21490,13-01-2022,16-01-2022,13,13,13,3,3,13,Marketplace,9,124.09,314.07,143.44,0,283.86,2483.41,802.74,-2107.97
114,37608,13-01-2022,18-01-2022,14,14,14,4,4,14,Marketplace,2,299.32,1.03,27.26,0,155.13,2476.89,597.61,-2061.67
115,38971,13-01-2022,15-01-2022,15,15,15,5,5,15,App,2,3862.07,232.5,114.16,0,257.66,399.78,7491.64,6720.04
116,39448,13-01-2022,15-01-2022,16,16,16,1,6,16,Marketplace,9,510.17,360.67,33.39,0,28.12,651.47,4230.86,3517.88
117,34310,13-01-2022,14-01-2022,17,17,17,2,7,17,App,7,4647.31,463.15,131.48,0,363.65,788.64,32068.02,30784.25
118,37216,13-01-2022,17-01-2022,18,18,18,3,8,18,App,5,2269.41,246.42,36.19,0,118.66,1600.65,11100.63,9345.13
119,35401,13-01-2022,14-01-2022,19,19,19,4,9,19,Website,5,3815.11,420.27,45.35,0,239.6,2837.5,18655.28,15532.83
120,32884,14-01-2022,18-01-2022,20,20,20,5,10,20,App,9,714.97,401.3,52.71,0,47.23,2012.58,6033.43,3920.91
121,38824,14-01-2022,16-01-2022,21,21,21,1,1,21,App,5,4639.89,147.89,114.62,1,355.39,2059.21,23051.56,20522.34
122,24795,14-01-2022,15-01-2022,22,22,22,2,2,22,Website,9,265.66,437.37,58.03,0,447.92,909.62,1953.57,538
123,21646,14-01-2022,20-01-2022,23,23,23,3,3,23,Website,8,306.47,320.14,97.49,0,227.97,1891.22,2131.62,-85.06
124,36142,14-01-2022,19-01-2022,24,24,24,4,4,24,Marketplace,6,367.47,52.09,94.35,0,41.61,673.34,2152.73,1343.43
125,34306,14-01-2022,17-01-2022,25,25,25,5,5,25,Website,5,606.7,469.56,72.29,0,472.54,2147.56,2563.94,-128.45
126,36824,14-01-2022,18-01-2022,26,26,26,1,6,26,App,5,2485.48,88.34,90.13,0,223.52,742.83,12339.06,11282.58
127,25956,14-01-2022,20-01-2022,27,27,27,2,7,27,Website,5,3962.55,235.18,35.36,0,40.17,91.26,19577.57,19410.78
128,33928,14-01-2022,17-01-2022,28,28,28,3,8,28,Website,1,1496.24,233.18,133.9,0,94.21,1594.89,1263.06,-559.94
129,29721,15-01-2022,18-01-2022,29,29,29,4,9,29,Marketplace,5,3754.31,312.62,46.92,0,59.92,929.09,18458.93,17423
130,31157,15-01-2022,16-01-2022,30,30,30,5,10,30,Website,3,3892.9,332.48,134.43,0,98.76,1905.45,11346.22,9207.58
131,22367,15-01-2022,18-01-2022,31,31,31,1,1,31,App,6,4550.56,116.45,87.44,0,77.89,2250.89,27186.91,24770.69
132,26696,15-01-2022,20-01-2022,32,32,32,2,2,32,App,9,831.82,176.22,99.81,0,461.44,2450.68,7310.16,4298.23
133,25190,15-01-2022,21-01-2022,33,33,33,3,3,33,App,3,764.12,72.3,53.45,0,104.54,2945.36,2220.06,-883.29
134,24663,15-01-2022,18-01-2022,34,34,34,4,4,34,Website,1,698.27,63.01,48.9,0,220.98,1688.95,635.26,-1323.57
135,27062,15-01-2022,16-01-2022,35,35,35,5,5,35,Website,8,1860.62,412.53,83.79,0,364.94,1473.3,14472.43,12550.4
136,24331,15-01-2022,20-01-2022,36,36,36,1,6,36,App,9,2498.12,375.36,54.76,0,338.49,774.41,22107.72,20940.06
137,39418,15-01-2022,17-01-2022,37,37,37,2,7,37,Website,4,2361.89,221.34,75.01,0,478.23,2253.23,9226.22,6419.75
138,31880,16-01-2022,22-01-2022,38,38,38,3,8,38,Marketplace,5,1359.54,47.95,77.23,0,483.01,1473.98,6749.75,4715.53
139,36246,16-01-2022,19-01-2022,39,39,39,4,9,39,Marketplace,3,3147.7,224.96,55.22,1,285.35,1014.8,9218.14,7862.77
140,23262,16-01-2022,17-01-2022,40,40,40,5,10,40,Marketplace,8,1757.54,147.23,57.92,0,376.15,1324.68,13913.09,12154.34
141,33320,16-01-2022,18-01-2022,41,41,41,1,1,41,Marketplace,3,1893.81,388.96,146.48,0,193.02,1142.95,5292.47,3810.02
142,38491,16-01-2022,18-01-2022,42,42,42,2,2,42,App,4,617.1,48.32,96.37,0,214.63,2936.59,2420.08,-827.51
143,27036,16-01-2022,20-01-2022,43,43,43,3,3,43,Website,7,3001.93,225.68,128.14,0,52.19,717.74,20787.83,19889.76
144,39131,16-01-2022,21-01-2022,44,44,44,4,4,44,Marketplace,2,3310.87,295.69,25.95,0,336.71,1272.84,6326.05,4690.55
145,24677,16-01-2022,19-01-2022,45,45,45,5,5,45,App,1,3813.96,492.86,20.25,1,135.3,956.52,3321.1,2209.03
146,27972,16-01-2022,17-01-2022,46,46,46,1,6,46,Marketplace,4,4529.65,44.8,87.48,0,39.93,556.32,18073.8,17390.07
147,35329,16-01-2022,20-01-2022,47,47,47,2,7,47,Website,8,3853.42,56.98,127.48,0,49.12,933.46,30770.38,29660.32
148,24264,17-01-2022,22-01-2022,48,48,48,3,8,48,Marketplace,1,1255.14,494.02,99.42,0,361.19,1493.49,761.12,-1192.98
149,23133,17-01-2022,21-01-2022,49,49,49,4,9,49,Marketplace,3,1254.71,202.81,100.45,0,114.46,1913.26,3561.32,1433.15
150,31612,17-01-2022,23-01-2022,50,50,50,5,10,50,Marketplace,4,4583.93,371.86,38.12,0,384.99,1869.78,17963.86,15670.97
151,37849,17-01-2022,22-01-2022,1,1,1,1,1,1,Marketplace,4,3971.65,391.74,147.21,0,452.96,2329.4,15494.86,12565.29
152,38595,17-01-2022,22-01-2022,2,2,2,2,2,2,Website,3,3933.01,157.28,88.86,0,170.42,260.26,11641.75,11122.21
153,34158,17-01-2022,20-01-2022,3,3,3,3,3,3,App,3,3626.6,107.15,33.34,0,396.94,977.36,10772.65,9365.01
154,29735,17-01-2022,22-01-2022,4,4,4,4,4,4,Marketplace,7,1409.29,138.05,73.85,0,214.37,1090.12,9726.98,8348.64
155,21689,17-01-2022,21-01-2022,5,5,5,5,5,5,App,8,4252.31,382.2,29.36,0,386.11,2092.02,33636.28,31128.79
156,29763,17-01-2022,22-01-2022,6,6,6,1,6,6,Website,4,800.13,420.24,74.36,0,153.36,662.13,2780.28,1890.43
157,27727,18-01-2022,21-01-2022,7,7,7,2,7,7,Website,8,1815.09,349.75,112.5,0,465.74,682.19,14170.97,12910.54
158,27764,18-01-2022,21-01-2022,8,8,8,3,8,8,Marketplace,8,1797.73,220.61,62.06,0,493.6,330.85,14161.23,13274.72
159,39925,18-01-2022,24-01-2022,9,9,9,4,9,9,App,6,2844.65,131.28,60.7,0,193.08,1623.22,16936.62,15059.62
160,33003,18-01-2022,22-01-2022,10,10,10,5,10,10,Marketplace,1,2370.87,212.62,86.86,0,99.46,2193.96,2158.25,-222.03
161,20818,18-01-2022,20-01-2022,11,11,11,1,1,11,Website,7,2353.06,457.26,84.8,0,342.67,2108.07,16014.16,13478.62
162,34439,18-01-2022,20-01-2022,12,12,12,2,2,12,Marketplace,7,2812.5,431.6,80.73,0,291.8,2241.25,19255.9,16642.12
163,35077,18-01-2022,23-01-2022,13,13,13,3,3,13,Marketplace,5,2135.55,161.69,87.19,0,495.73,550.24,10516.06,9382.9
164,24521,18-01-2022,24-01-2022,14,14,14,4,4,14,App,6,1324.92,163.97,26.23,0,405.8,1780.34,7785.55,5573.18
165,21124,18-01-2022,19-01-2022,15,15,15,5,5,15,Website,9,3354.19,389.99,81.65,0,417.55,325.3,29797.72,28973.22
166,25660,19-01-2022,24-01-2022,16,16,16,1,6,16,Marketplace,3,3974.1,213.29,148.96,0,363.24,2901.7,11709.01,8295.11
167,25641,19-01-2022,25-01-2022,17,17,17,2,7,17,Marketplace,4,2447.08,286.36,119.36,0,175.39,360.02,9501.96,8847.19
168,37513,19-01-2022,23-01-2022,18,18,18,3,8,18,Marketplace,9,3282.47,211.16,57.38,0,467.92,2638.94,29331.07,26166.83
169,21702,19-01-2022,23-01-2022,19,19,19,4,9,19,App,2,2723.28,121.17,108.1,0,232.84,163.23,5325.39,4821.22
170,38385,19-01-2022,23-01-2022,20,20,20,5,10,20,Website,9,389.08,94.43,62.89,0,199.72,1616.85,3407.29,1527.83
171,31139,19-01-2022,23-01-2022,21,21,21,1,1,21,Marketplace,5,2173.11,69.77,44.9,0,97.12,2565.64,10795.78,8088.12
172,35702,19-01-2022,23-01-2022,22,22,22,2,2,22,Marketplace,3,148.28,5.71,120.56,0,151.98,1922.12,439.13,-1755.53
173,26523,19-01-2022,25-01-2022,23,23,23,3,3,23,Marketplace,8,3343.21,140.31,47.25,0,1.13,1506.76,26605.37,25050.23
174,32397,19-01-2022,25-01-2022,24,24,24,4,4,24,Website,9,2589.99,85.7,131.62,0,329.95,425.74,23224.21,22336.9
175,28111,20-01-2022,23-01-2022,25,25,25,5,5,25,App,1,721.47,128.98,69.45,0,302.73,1994.75,592.49,-1774.44
176,22401,20-01-2022,22-01-2022,26,26,26,1,6,26,App,5,2756.74,37.9,118.39,0,201.52,1826.87,13745.8,11599.02
177,29481,20-01-2022,24-01-2022,27,27,27,2,7,27,Marketplace,9,4502.29,170.78,53.75,0,483.55,1403.04,40349.83,38409.49
178,30067,20-01-2022,21-01-2022,28,28,28,3,8,28,Marketplace,2,1768.4,259.98,104.86,0,346.55,743.06,3276.82,2082.35
179,33376,20-01-2022,26-01-2022,29,29,29,4,9,29,App,1,4913.61,472.29,47.63,0,121.36,699.33,4441.32,3573
180,33824,20-01-2022,21-01-2022,30,30,30,5,10,30,App,8,4800.96,173.54,22.84,0,189.35,2911.54,38234.14,35110.41
181,33444,20-01-2022,21-01-2022,31,31,31,1,1,31,App,6,3948.02,15.51,125.9,0,257.9,2896.92,23672.61,20391.89
182,32879,20-01-2022,21-01-2022,32,32,32,2,2,32,Marketplace,2,4087.62,181.18,131.3,0,272.68,2814.05,7994.06,4776.03
183,36112,20-01-2022,23-01-2022,33,33,33,3,3,33,Marketplace,3,2111.67,408.61,134.47,0,137.82,1572.18,5926.4,4081.93
184,20539,21-01-2022,27-01-2022,34,34,34,4,4,34,App,5,2072.45,170.07,24.72,0,124.72,2965.41,10192.18,7077.33
185,30974,21-01-2022,22-01-2022,35,35,35,5,5,35,App,1,4776.55,145.87,118.92,0,149.71,927.42,4630.68,3434.63
186,33846,21-01-2022,25-01-2022,36,36,36,1,6,36,Website,2,1894.36,459.5,128.66,0,481.68,1309.31,3329.22,1409.57
187,25615,21-01-2022,26-01-2022,37,37,37,2,7,37,Marketplace,1,574.68,148.61,60.52,0,179.76,564.28,426.07,-378.49
188,36016,21-01-2022,22-01-2022,38,38,38,3,8,38,Website,7,848.24,485.13,81.16,0,187.07,1419.12,5452.55,3765.2
189,22956,21-01-2022,24-01-2022,39,39,39,4,9,39,App,7,3580.95,416.32,73.03,0,360.12,595.83,24650.33,23621.35
190,28077,21-01-2022,27-01-2022,40,40,40,5,10,40,Marketplace,5,1976.61,342.12,77.21,0,81.38,245.41,9540.93,9136.93
191,23722,21-01-2022,24-01-2022,41,41,41,1,1,41,Marketplace,6,1076.78,299.16,130.07,0,321.58,79.44,6161.52,5630.43
192,32059,21-01-2022,22-01-2022,42,42,42,2,2,42,Website,3,4087.55,112.39,74.32,0,333.06,1166.47,12150.26,10576.41
193,25087,22-01-2022,28-01-2022,43,43,43,3,3,43,Website,2,2494.5,365.2,59.31,0,32.26,2697.93,4623.8,1834.3
194,30338,22-01-2022,27-01-2022,44,44,44,4,4,44,Website,9,2881.44,173.57,36.95,0,94.97,1340.31,25759.39,24287.16
195,22170,22-01-2022,23-01-2022,45,45,45,5,5,45,Website,2,854.35,242.82,107.73,0,233.25,1954.56,1465.88,-829.66
196,23391,22-01-2022,25-01-2022,46,46,46,1,6,46,Marketplace,1,1044.5,52.03,30.95,0,417.71,2462.79,992.47,-1918.98
